ErrorID,エラーメッセージ
1,"シンボルを見つけられません"
2,"パッケージAは存在しません"
3,"<identifier>がありません"
4,"例外Aは報告されません。スローするには、捕捉または宣言する必要があります"
5,"クラスAのコンストラクタBは指定された型に適用できません。"
6,"互換性のない型"
7,"';'がありません"
8,"Aに適切なメソッドが見つかりません"
9,"')'がありません"
10,"式の開始が不正です"
11,"構文解析中にファイルの終わりに移りました"
12,"単項演算子Aのオペランド型Bが不正です"
13,"型Aと型Bは比較できません"
14,"文ではありません"
15,"'('がありません"
16,"型の開始が不正です"
17,"'{'がありません"
18,"Aに適切なコンストラクタが見つかりません"
19,"Aは不正な文字です"
20,"coco.view.CCErrorElementButtonはabstractでなく、java.awt.event.MouseListener内のabstractメソッドmouseExited(java.awt.event.MouseEvent)をオーバーライドしません"
21,"java.awt.Componentのwidthはpublicではありません。パッケージ外からはアクセスできません"
22,"java.awt.Componentのheightはpublicではありません。パッケージ外からはアクセスできません"
23,"superの呼出しはコンストラクタの先頭文である必要があります"
24,"クラスAのメソッドBは指定された型に適用できません。"
25,"class、interfaceまたはenumがありません"
26,"文字列リテラルが閉じられていません"
